001, Burger, 15, 89.0
002, Water, 50, 10.0
003, Toy Car, 10, 150.0
004, Coke, 30, 20.0
005, Pizza, 5, 299.0
006, Notebook, 20, 45.0
007, Coffee, 25, 60.0
008, Pen, 100, 15.0
009, Sandwich, 12, 55.0
010, Orange Juice, 18, 40.0
011, Candy, 200, 5.0
012, Milk, 15, 25.0
013, Chips, 40, 30.0
014, Umbrella, 8, 199.0
015, Battery, 50, 120.0
016, Bread, 10, 35.0
017, Ice Cream, 20, 25.0
018, Soap, 35, 18.0
019, Shampoo, 12, 85.0
020, Tissue, 60, 15.0
021, Towel, 15, 150.0
022, Socks, 30, 59.0
023, Hat, 5, 250.0
024, Mask, 100, 2.0
025, Scissors, 10, 45.0
026, Ruler, 50, 10.0
